Species	Group	TaxID	Source
Amphiporus_lactifloreus	Metazoa	187594	metazoa_metadata
Amphizoa_insolens	Metazoa	107775	metazoa_metadata
Amylocarpus_encephaloides	Fungi	45428	accession_api
Amylocystis_lapponica	Fungi	202700	accession_api
Amylostereum_chailletii	Fungi	55340	accession_api
Anabas_testudineus	Metazoa	64144	accession_api
Anaeromyces_robustus	Fungi	1754192	accession_api
Anamobaea_orstedii	Metazoa	2733422	metazoa_metadata
Ananas_comosus	angiosperms	4615	accession_api
Anaplectus_granulosus	Metazoa	2072756	metazoa_metadata
Anaulaciulus_tonginus	Metazoa	2850401	metazoa_metadata
Anchistropus_emarginatus	Metazoa	423250	metazoa_metadata
Ancistrocladus_abbreviatus	angiosperms	122295	accession_api
Andrographis_paniculata	angiosperms	175694	accession_api
Androsace_septentrionalis	angiosperms	184985	accession_api
Androsace_vitaliana	angiosperms	175111	accession_api
Androsace_wulfeniana	angiosperms	229462	accession_api
Anentome_helena	Metazoa	1912881	accession_api
Angophora_floribunda	angiosperms	34308	accession_api
Anguilla_anguilla	Metazoa	7936	accession_api
Anisodus_acutangulus	angiosperms	402998	accession_api
Anisodus_tanguticus	angiosperms	243964	accession_api
Anncaliia_algerae_PRA339	Fungi	1288291	accession_api
Anneissia_japonica	Metazoa	1529436	accession_api
Annulohypoxylon_bovei_var._microspora	Fungi	326617	accession_api
Annulohypoxylon_maeteangense	Fungi	1927788	accession_api
Annulohypoxylon_moriforme	Fungi	326622	accession_api
Annulohypoxylon_nitens	Fungi	326626	accession_api
Annulohypoxylon_truncatum	Fungi	327061	accession_api
Anopheles_gambiae	Metazoa	7165	accession_api
Anopheles_merus	Metazoa	30066	accession_api
Anoplodactylus_insignis	Metazoa	1842456	metazoa_metadata
Anopsobius_giribeti	Metazoa	269517	metazoa_metadata
Antalis_entalis	Metazoa	211836	metazoa_metadata
Anthoceros_agrestis	bryophytes	41834	name_search_full_name
Anthoceros_fusiformis	bryophytes	400545	name_search_full_name
Anthoceros_punctatus	bryophytes	3234	name_search_full_name
Anthostomella_pinea	Fungi	933095	accession_api
Antiaris_toxicaria	angiosperms	241857	accession_api
Antirrhinum_hispanicum	angiosperms	49039	name_search_full_name
Antirrhinum_majus	angiosperms	4151	name_search_full_name
Antrodiella_citrinella	Fungi	2447956	accession_api
Antygomonas_paulae	Metazoa	1564067	metazoa_metadata
Anurida_maritima	Metazoa	64695	metazoa_metadata
Aoraki_denticulata	Metazoa	526530	metazoa_metadata
Apachyus_charteceus	Metazoa	1323532	metazoa_metadata
Apatococcus_fuscideae	chlorophyta	2026836	accession_api
Apatococcus_lobatus	chlorophyta	904363	accession_api
Aphanocladium_album	Fungi	12942	accession_api
Aphanoconia_osumiense	Metazoa	2950572	metazoa_metadata
Aphanomyces_astaci	Protists	112090	accession_api
Aphanomyces_cochlioides	Protists	112091	accession_api
Aphanomyces_euteiches	Protists	100861	accession_api
Aphanomyces_invadans	Protists	157072	accession_api
Aphanomyces_stellatus	Protists	120398	accession_api
Aphelenchus_avenae	Metazoa	70226	accession_api
Apios_americana	angiosperms	185702	accession_api
Apios_priceana	angiosperms	254393	accession_api
Apiosordaria_backusii	Fungi	314023	accession_api
Apiospora_arundinis	Fungi	335852	accession_api
Apiospora_aurea	Fungi	335848	accession_api
Apiospora_hydei	Fungi	1337664	accession_api
Apiospora_kogelbergensis	Fungi	1337665	accession_api
Apiospora_marii	Fungi	335849	accession_api
Apiospora_phragmitis	Fungi	2905665	accession_api
Apiospora_rasikravindrae	Fungi	990691	accession_api
Apiospora_saccharicola	Fungi	335842	accession_api
Apiotrichum_porosum	Fungi	105984	accession_api
Apis_mellifera	Metazoa	7460	accession_api
Apium_graveolens	angiosperms	4045	accession_api
Aplosporella_prunicola_CBS_121167	Fungi	1176127	accession_api
Aplysiopsis_enteromorphae	Metazoa	649608	metazoa_metadata
Apocyclops_royi	Metazoa	298420	accession_api
Apocynum_pictum	angiosperms	377126	accession_api
Apodomenia_enigmatica	Metazoa	2138613	metazoa_metadata
Apodospora_peruviana	Fungi	516989	accession_api
Apolpium_sp._MCZ_144360	Metazoa	2590504	metazoa_metadata
Apophysomyces_ossiformis	Fungi	679940	accession_api
Apostasia_shenzhenica	angiosperms	1088818	accession_api
Aposthonia_japonica	Metazoa	911381	metazoa_metadata
Aquilegia_coerulea	angiosperms	218851	accession_api
Arabidopsis_arenicola	angiosperms	347883	accession_api
Arabidopsis_arenosa	angiosperms	38785	accession_api
Arabidopsis_halleri	angiosperms	81970	accession_api
Arabidopsis_lyrata	angiosperms	81972	accession_api
Arabidopsis_suecica	angiosperms	45249	accession_api
Arabidopsis_thaliana	angiosperms	3702	accession_api
Arabidopsis_thaliana_x_Arabidopsis_arenosa	angiosperms	1240361	accession_api
Arabis_caerulea	angiosperms	586519	accession_api
Arabis_ciliata	angiosperms	571353	accession_api
Arachis_duranensis	angiosperms	130453	accession_api
Arachis_hypogaea	angiosperms	3818	name_search_full_name
Arachis_ipaensis	angiosperms	130454	accession_api
Arachis_stenosperma	angiosperms	217475	accession_api
Arapaima_gigas	Metazoa	113544	accession_api
Architeuthis_dux	Metazoa	256136	accession_api
Archoleptoneta_schusteri	Metazoa	1002511	metazoa_metadata
Arctium_lappa	angiosperms	4217	accession_api
Arenicola_marina	Metazoa	6344	accession_api
Aretaon_asperrimus	Metazoa	173775	metazoa_metadata
Argentina_anserina	angiosperms	57926	accession_api
Argiope_bruennichi	Metazoa	94029	accession_api
Argopecten_purpuratus	Metazoa	228297	metazoa_metadata
Argulus_siamensis	Metazoa	1167309	metazoa_metadata
Argyroneta_aquatica	Metazoa	375087	accession_api
Arion_vulgaris	Metazoa	1028688	accession_api
Aristida_adscensionis	angiosperms	121766	accession_api
Aristolochia_californica	angiosperms	171875	accession_api
Aristolochia_fimbriata	angiosperms	158543	accession_api
Armadillidium_nasatum	Metazoa	96803	accession_api
Armadillidium_vulgare	Metazoa	13347	accession_api
Armillaria_borealis	Fungi	47425	accession_api
Armillaria_fumosa	Fungi	153910	accession_api
Armillaria_luteobubalina	Fungi	153913	accession_api
Armillaria_mellea	Fungi	47429	accession_api
Armillaria_nabsnona	Fungi	64368	accession_api
Armillaria_novae-zelandiae	Fungi	153914	name_search_full_name
Armillaria_novaezelandiae	Fungi	153914	accession_api
Artemia_salina	Metazoa	85549	metazoa_metadata
Arthrobotrys_conoides	Fungi	74498	accession_api
Arthrobotrys_entomopaga	Fungi	321852	accession_api
Arthrobotrys_flagrans	Fungi	97331	accession_api
Arthrobotrys_megalospora	Fungi	2528406	accession_api
Arthrobotrys_musiformis	Fungi	47236	accession_api
Arthroderma_uncinatum	Fungi	74035	accession_api
